,PnL_Baseline,PnL_VariantA,PnL_VariantB
2023-11-09,11471.103237330828,16421.560464627317,17705.530086236795
2023-11-10,644.9780346456936,617.36997301434,560.3291318061366
2023-11-13,1031.339695376661,1638.420407980584,1931.6762220581188
2023-11-14,-4442.136529019321,-2251.1140800737376,-2957.2368513299166
2023-11-15,1650.1869730890396,1599.805180492881,1536.9662970480501
2023-11-16,1578.509722716924,2373.750729677135,2548.673162618306
2023-11-17,887.8861262734077,1166.1027478163146,1127.2740144620127
2023-11-20,2073.396189731965,3321.68425762825,3946.6929356434393
2023-11-21,1533.284988622572,1562.9499512774773,1901.8698616167649
2023-11-22,-801.4935251198497,-855.8378578596497,-722.564433351243
2023-11-23,0.0,0.0,0.0
2023-11-24,-987.7038495955402,-186.15989925763736,-425.52657890637687
2023-11-27,1078.3170332441491,1977.7371757620915,2198.635918237137
2023-11-28,1240.8592768369208,1619.3531832901604,1631.6381802394706
2023-11-29,2258.5308987502012,2676.7007965470193,3623.2289764361117
2023-11-30,3000.6021636094692,2827.0268258017977,2766.489813408697
2023-12-01,0.0,0.0,0.0
2023-12-04,1362.5627749442378,2399.568597027493,3503.6985675931887
2023-12-05,2466.2894281963027,3219.042317714433,3861.5421176717227
2023-12-06,3961.7474306875856,3932.9280649007637,4119.449481067064
2023-12-07,790.5054170845292,270.0344854438805,546.2853653811931
2023-12-08,-273.1979293354504,-110.76425347371088,-155.20186083898213
2023-12-11,1797.4027426773628,2416.7083394602178,1720.8851447241434
2023-12-12,1211.552944704176,1442.3910999843727,1274.873968505103
2023-12-13,0.0,0.0,0.0
2023-12-14,-849.9246240140054,481.22003761013804,19.89232554172241
2023-12-15,5492.582519080153,6486.144717426526,7916.038591656123
2023-12-18,1524.1375536693506,2025.6165408988338,2180.6079087447088
2023-12-19,-1484.73299431213,-930.4609235326711,-944.9358223330627
2023-12-20,3469.915478152474,5156.659959730817,6650.590864873804
2023-12-21,-283.36396967386884,533.7812368897627,386.76590916210677
2023-12-22,581.6330601899856,581.6330601899856,487.85519446200885
2023-12-25,0.0,0.0,0.0
2023-12-26,-195.57142825848496,-97.78571412924248,-113.69985997457822
2023-12-27,1165.264489147173,1187.873839389175,957.0549415093056
2023-12-28,928.3668553032705,631.9016017027975,607.16961287651
2023-12-29,3816.1073924270604,5631.991805460673,6507.514324640119
2024-01-01,0.0,0.0,0.0
2024-01-02,1078.770753763417,3327.0248633423907,5488.618528391445
2024-01-03,936.206592947972,1404.309889421958,1715.7981291680092
2024-01-04,1591.4489381652834,1045.7245286872865,1064.3241664634957
2024-01-05,1913.7461590838743,2650.197640614568,2083.193319799854
2024-01-08,0.0,0.0,0.0
2024-01-09,178.5712575121809,267.85688626827135,248.01277821008097
2024-01-10,1293.3395273293195,1836.4796666586951,1444.7003230467299
2024-01-11,4023.4690988499497,6159.724725103794,6242.534642512062
2024-01-12,3152.755440037621,2252.935359058328,2265.739074811185
2024-01-15,0.0,0.0,0.0
2024-01-16,2628.395071337402,3166.7664819163288,2714.8724073488256
2024-01-17,769.2306369719372,1153.8459554579058,1236.8566318532048
2024-01-18,9325.006608311623,11710.56727196913,11741.516419568057
2024-01-19,1616.06505420212,644.0978637985187,900.6288209362872
2024-01-22,126.2035963164696,444.9590148754589,254.01830499433925
2024-01-23,160.15547582474272,249.24591726231682,96.38670763504399
2024-01-24,19547.330202749297,29320.995304123942,39658.590849919245
2024-01-25,5618.495815413534,8563.94673980742,8883.046488705999
2024-01-26,921.9714666120329,1828.8673740224078,1374.9426048524394
2024-01-29,-1019.2907858016772,-1528.936178702516,-1089.2307899845587
2024-01-30,746.8257920343741,909.7120182214815,1110.0442746402346
2024-01-31,716.153679308807,939.4801411695155,851.4022951059136
2024-02-01,1111.8672374996504,2069.2628955786413,1882.5386284328208
2024-02-02,-555.9049531493555,-265.9181086108006,-332.47875413786426
2024-02-05,349.2067624892352,523.8101437338528,380.1633361989181
2024-02-06,739.4365351605143,1071.4730388014193,765.9122521997496
2024-02-07,1692.9012904689507,2672.9618284678563,3150.4677920790896
2024-02-08,998.2730349522927,1081.9317112223318,1083.6697652402095
2024-02-09,3074.302207348729,3275.509645491063,4397.786911167096
2024-02-12,-213.04337874702784,-106.52168937351392,-143.08578202728154
2024-02-13,931.9926496466642,1348.6592387031146,1445.166872363789
2024-02-14,-1792.8034863414164,-587.5995769729977,-860.9632727176835
2024-02-15,2871.314571525174,3978.0717535094473,3709.3066778604666
2024-02-16,104.42445985577628,52.21222992788814,58.35463954044368
2024-02-19,0.0,0.0,0.0
2024-02-20,1400.5273992927487,1796.7229935252976,1899.2307614465142
2024-02-21,1341.6099114212677,1977.2868165948685,1631.0545302982125
2024-02-22,2143.6585794729563,3450.597151578259,2897.1497093086346
2024-02-23,1102.559098732636,747.3577974104675,773.1701774461898
2024-02-26,-1998.8627475486662,-994.3189650805141,-1142.314510388948
2024-02-27,2964.187032166736,2456.841896551853,2624.677674693759
2024-02-28,1930.3368963954285,2895.505344593143,3720.0785978807303
2024-02-29,5167.337301294902,4540.274326550502,4146.370049916606
2024-03-01,3723.5493868268677,3647.7903013446867,5112.139610964459
2024-03-04,6002.2428623472315,6852.5712513809785,6601.079665424132
2024-03-05,600.1372967808843,1829.4108970432396,1983.6241734085515
2024-03-06,4149.228634220071,3263.9994273108,3408.0001223588947
2024-03-07,-3273.244118365903,-2640.2240407298573,-2408.460032120916
2024-03-08,5104.702911714721,3189.343604773903,3308.6789506268988
2024-03-11,8061.2672585682385,12224.06295817143,12390.698762734979
2024-03-12,-242.31146867166945,1611.9130227096393,1145.887177582862
2024-03-13,-89.45628233031061,-44.72814116515531,0.6964310871095165
2024-03-14,4554.192567204471,5038.623836371242,5003.254183431342
2024-03-15,346.5435046640647,519.8152569960971,598.5705716929682
2024-03-18,2752.1934632929056,2076.5031882506064,1882.1852699052902
2024-03-19,513.3126855800342,906.811255814477,737.5057321737486
2024-03-20,-826.4970652195376,-605.5560485723518,-610.9705142494222
2024-03-21,11010.472136689652,9497.362620021762,13101.37015453932
2024-03-22,2092.519980779085,2446.664320313083,1917.3729655196946
2024-03-25,983.6780184060658,1380.3636734183758,1209.0147562708498
2024-03-26,1898.8055613265606,1370.7657516801864,1403.3910338862827
2024-03-27,750.1395746283431,310.1347826975208,520.3182283863072
