Pool,Ticker,Type,Trade_Count,Win_Count,Total_Return,Avg_Return,Return_Std,Win_Rate
Final,OSCR,Normal,324,167,0.06372696595313632,0.00019668816652202567,0.048717524077543824,0.5154320987654321
Final,OSCR,TOTM,59,29,-0.11977032818747145,-0.0020300055624995162,0.04304507914792303,0.4915254237288136
Final,QBTS,Holiday,21,16,0.6587487604160971,0.03136898859124272,0.05650714450029341,0.7619047619047619
Final,QBTS,Normal,384,234,2.4880436486272286,0.006479280334966741,0.10154424532183925,0.609375
Final,QBTS,TOTM,79,42,-0.49261083533838373,-0.006235580194156756,0.08108179006631197,0.5316455696202531
Final,SMR,Holiday,22,11,-0.24731536889381672,-0.01124160767699167,0.0603549692619394,0.5
Final,SMR,Normal,332,190,1.61163739804996,0.004854329512198675,0.06488057755699381,0.572289156626506
Final,SMR,TOTM,83,51,0.8321442133989438,0.010025833896372818,0.05187373248394853,0.6144578313253012
Final,SNOW,Holiday,21,14,0.2762306041318353,0.013153838291992157,0.02614254128484441,0.6666666666666666
Final,SNOW,Normal,363,187,0.32551418495935425,0.0008967332918990475,0.031780631132669365,0.5151515151515151
Final,SNOW,TOTM,80,40,-0.06874888158098935,-0.0008593610197623669,0.03162020075328458,0.5
Final,SPOT,Holiday,18,6,-0.1475335569349929,-0.008196308718610717,0.020481496370397905,0.3333333333333333
Final,SPOT,Normal,382,206,0.8937448848243085,0.002339646295351593,0.02494792060739051,0.5392670157068062
Final,SPOT,TOTM,85,34,-0.33032139593167503,-0.003886134069784412,0.026331774089597994,0.4
Final,TSM,Holiday,21,7,-0.10476179054645576,-0.0049886566926883695,0.015521421910838589,0.3333333333333333
Final,TSM,Normal,445,239,0.862317215777475,0.0019377914961291572,0.018637089797833708,0.5370786516853933
Final,TSM,TOTM,103,44,-0.3351392456595304,-0.003253779084073111,0.01611215615675812,0.42718446601941745
Final,U,Holiday,25,16,-0.07362885743883216,-0.0029451542975532864,0.05072333372043395,0.64
Final,U,Normal,391,196,-0.06690866034267391,-0.00017112189345952407,0.041204300733927945,0.5012787723785166
Final,U,TOTM,80,49,0.36993468410368413,0.004624183551296052,0.043447881338840345,0.6125
Final,UBER,Holiday,17,6,-0.08438853245379535,-0.004964031320811491,0.02016942653353017,0.35294117647058826
Final,UBER,Normal,376,202,0.19331608676151107,0.0005141385286210401,0.03044346922196401,0.5372340425531915
Final,UBER,TOTM,103,43,-0.1813299598065513,-0.0017604850466655466,0.024006019068881213,0.4174757281553398
Final,UNH,Holiday,11,8,0.0521820387769848,0.004743821706998618,0.010421519641547429,0.7272727272727273
Final,UNH,Normal,259,135,0.09310331723208365,0.00035947226730534225,0.018558926129585603,0.5212355212355212
Final,UNH,TOTM,53,25,-0.08896912618747879,-0.0016786627582543168,0.017070132267573253,0.4716981132075472
Final,V,Holiday,7,2,-0.026620375090497764,-0.003802910727213966,0.013208492358353691,0.2857142857142857
Final,V,Normal,258,128,0.042641292800671415,0.00016527632868477293,0.015587192800018936,0.49612403100775193
Final,V,TOTM,63,30,-0.021841999273907484,-0.0003466984011731347,0.013390567711847188,0.47619047619047616
Final,VST,Holiday,12,4,-0.021071652619553603,-0.0017559710516294668,0.015587208865152817,0.3333333333333333
Final,VST,Normal,321,153,-0.5872615274524897,-0.0018294751634033947,0.028091586391911106,0.4766355140186916
Final,VST,TOTM,75,42,0.17673485013203838,0.0023564646684271786,0.02661172482695896,0.56
Final,LEU,Holiday,29,15,0.07861229365221778,0.0027107687466281995,0.0435902912468357,0.5172413793103449
Final,LEU,Normal,496,267,1.4300942384961521,0.002883254513097081,0.05172433436325635,0.5383064516129032
Final,LEU,TOTM,124,71,0.6581364664450414,0.005307552148750334,0.049237041818401474,0.5725806451612904
Final,UAMY,Holiday,19,13,0.42796521353676237,0.022524484922987493,0.03984785901487221,0.6842105263157895
Final,UAMY,Normal,381,213,4.767337965322165,0.012512698071711719,0.07459832038732252,0.5590551181102362
Final,UAMY,TOTM,90,56,1.2668241640950089,0.0140758240455001,0.06157991028475658,0.6222222222222222
Final,UUUU,Holiday,29,21,0.40942868168570445,0.014118230402955326,0.03453305025965652,0.7241379310344828
Final,UUUU,Normal,533,285,2.4999580404110473,0.004690352796268381,0.04537899651242316,0.5347091932457786
Final,UUUU,TOTM,127,62,-0.15089040993581906,-0.0011881134640615674,0.04673727843088562,0.4881889763779528
Final,WWR,Holiday,23,14,0.341323240743937,0.014840140901910303,0.04041813304565015,0.6086956521739131
Final,WWR,Normal,472,300,4.632372169015248,0.009814347815710271,0.0635534444352537,0.635593220338983
Final,WWR,TOTM,123,73,1.4160748843114497,0.011512803937491461,0.09267338244250711,0.5934959349593496
Final,GLD,Holiday,17,9,0.007216842349207293,0.0004245201381886643,0.005816621026789821,0.5294117647058824
Final,GLD,Normal,269,123,-0.016532790778380213,-6.146018876721269e-05,0.007371766666763123,0.45724907063197023
Final,GLD,TOTM,76,37,0.028297355364327738,0.00037233362321483865,0.006607233068494433,0.4868421052631579
Final,MGK,Holiday,11,5,-0.024070580707368006,-0.002188234609760728,0.015411873789218758,0.45454545454545453
Final,MGK,Normal,298,133,0.08690585559165066,0.00029163038789144517,0.013936632483353447,0.4463087248322148
Final,MGK,TOTM,63,27,-0.03633540919841351,-0.0005767525269589445,0.01298206352490361,0.42857142857142855
Final,NLR,Holiday,19,10,-0.017781269839631107,-0.0009358563073490056,0.014411164193108603,0.5263157894736842
Final,NLR,Normal,360,197,0.7051507186088948,0.0019587519961358187,0.015448226659595965,0.5472222222222223
Final,NLR,TOTM,91,43,0.16971576384523954,0.0018650083939037313,0.015144363236598455,0.4725274725274725
Final,REMX,Holiday,25,11,-0.09659959833276911,-0.0038639839333107647,0.013704302055979023,0.44
Final,REMX,Normal,426,172,-1.1701238855327958,-0.002746769684349286,0.017980346477039888,0.40375586854460094
Final,REMX,TOTM,106,36,-0.5796802507943178,-0.005468681611267149,0.0159005485335351,0.33962264150943394
Final,SIVR,Holiday,31,16,0.007050246237735553,0.00022742729799146946,0.012077565973650948,0.5161290322580645
Final,SIVR,Normal,392,188,-0.23352983983779252,-0.0005957393873413074,0.013012166900411836,0.47959183673469385
Final,SIVR,TOTM,100,55,0.18760426976307074,0.0018760426976307074,0.01547422808441053,0.55
Final,VOO,Holiday,8,3,-0.014814652560093603,-0.0018518315700117003,0.012736903163408605,0.375
Final,VOO,Normal,215,87,0.019292196479642143,8.97311464169402e-05,0.012388149765205308,0.4046511627906977
Final,VOO,TOTM,53,18,-0.11798280110685846,-0.002226090586921858,0.009735783634643204,0.33962264150943394
Toxic,LCID,Holiday,21,7,-0.218720493713694,-0.010415261605414,0.047454094345745365,0.3333333333333333
Toxic,LCID,Normal,404,226,1.0790827049612517,0.002670996794458544,0.05150535364014066,0.5594059405940595
Toxic,LCID,TOTM,80,50,0.6577932910232169,0.008222416137790211,0.0458727147066692,0.625
Toxic,PSNY,Holiday,21,10,0.17592820573360762,0.008377533606362267,0.042601059363302496,0.47619047619047616
Toxic,PSNY,Normal,309,172,0.930261039521581,0.003010553525959809,0.049197736506762645,0.5566343042071198
Toxic,PSNY,TOTM,65,36,0.2697796590350575,0.004150456292847039,0.04967086862893713,0.5538461538461539
Toxic,BZFD,Holiday,16,10,0.02358417738781339,0.001474011086738337,0.04963525561678139,0.625
Toxic,BZFD,Normal,254,149,1.2759582534224738,0.00502345769063966,0.08327236275598085,0.5866141732283464
Toxic,BZFD,TOTM,60,38,0.9461169648675959,0.015768616081126598,0.056311459019823346,0.6333333333333333
Toxic,RENT,Holiday,16,8,0.11077407825004293,0.006923379890627683,0.07489973645365255,0.5
Toxic,RENT,Normal,307,181,1.3034470677446324,0.004245755920992288,0.09279951265385603,0.5895765472312704
Toxic,RENT,TOTM,71,42,1.4978224697576428,0.02109609112334708,0.06191233261209068,0.5915492957746479
Toxic,BIRD,Holiday,16,10,0.21749680621960493,0.013593550388725308,0.038135146851932394,0.625
Toxic,BIRD,Normal,345,206,1.8759157140328149,0.005437436852269028,0.054474894031964885,0.5971014492753624
Toxic,BIRD,TOTM,67,40,0.10512198064920235,0.0015689847858089902,0.04212331923836671,0.5970149253731343
Toxic,REAL,Holiday,25,15,0.014154900380017411,0.0005661960152006964,0.059802368292226446,0.6
Toxic,REAL,Normal,448,227,-0.28720883252022544,-0.0006410911440183604,0.05387486247834564,0.5066964285714286
Toxic,REAL,TOTM,108,57,-0.08551452725951793,-0.0007918011783288698,0.05685659222057977,0.5277777777777778
