Ticker,Pool,Threshold,Events,Win Rate,Avg Return,Avg Intraday DD
IONQ,Asset,-0.015,226,0.5265486725663717,0.004057143476840075,-0.03912044888878455
FI,Asset,-0.015,96,0.59375,0.003919336572681843,-0.01744969564902568
KTOS,Asset,-0.015,174,0.5574712643678161,0.0038662627182905664,-0.03131149416642933
DUOL,Asset,-0.015,123,0.5772357723577236,0.003807617445707478,-0.03208993294488034
AMZN,Asset,-0.015,170,0.5235294117647059,0.003717800331252928,-0.01652743394262474
GLW,Asset,-0.015,135,0.5333333333333333,0.003613726114014096,-0.017570485487621783
NLR,Asset,-0.015,79,0.569620253164557,0.0033968150889029662,-0.010677926667530323
LUMN,Asset,-0.015,203,0.49261083743842365,0.0033610209973909135,-0.0348929325122445
CIFR,Asset,-0.015,274,0.48905109489051096,0.0033580171626141605,-0.050658627184961655
DOCN,Asset,-0.015,192,0.4947916666666667,0.003347425346606052,-0.029962406780313897
PTON,Toxic,-0.015,278,0.4892086330935252,0.0033094627414241074,-0.03539736926948366
V,Asset,-0.015,97,0.5463917525773195,0.003273211881252379,-0.015105118918560385
OSCR,Asset,-0.015,166,0.5180722891566265,0.0032403920160023643,-0.034286141703898584
ACHR,Asset,-0.015,171,0.4678362573099415,0.002965373470459688,-0.03647450236136406
QBTS,Asset,-0.015,168,0.4642857142857143,0.0028515589598039847,-0.05120005345885204
ABNB,Asset,-0.015,151,0.5496688741721855,0.002746812840661474,-0.021790318309023445
PANW,Asset,-0.015,170,0.5235294117647059,0.0027356774076302977,-0.02175198919899603
REAL,Toxic,-0.015,283,0.4876325088339223,0.002479699833370836,-0.04357815402725795
GME,Toxic,-0.015,310,0.5258064516129032,0.0024617331855721794,-0.043164411050186056
HOOD,Asset,-0.015,188,0.5106382978723404,0.0024051068690876583,-0.03345194469010677
BE,Asset,-0.015,338,0.5059171597633136,0.002307718903886697,-0.04047617377214078
UUUU,Asset,-0.015,264,0.4621212121212121,0.002291908574707516,-0.03487168271346904
MGK,Asset,-0.015,94,0.5212765957446809,0.0022554787225837316,-0.012124085662848026
NVDA,Asset,-0.015,291,0.5223367697594502,0.0022385374842130135,-0.022972194962745926
GOOG,Asset,-0.015,144,0.5069444444444444,0.0019705167835486082,-0.01300391055503499
SOFI,Asset,-0.015,210,0.5190476190476191,0.001954591418607162,-0.03025671998102743
UNH,Asset,-0.015,101,0.5544554455445545,0.0019341533553879655,-0.01961285877630054
NVO,Asset,-0.015,296,0.5472972972972973,0.001710840508746031,-0.010062051864041877
SNOW,Asset,-0.015,201,0.48258706467661694,0.00164234105836474,-0.027377475270673364
POWI,Asset,-0.015,226,0.5442477876106194,0.0014787085805667264,-0.020355473277548657
CCJ,Asset,-0.015,199,0.5226130653266332,0.001447433021012787,-0.025877256414282766
GRAB,Asset,-0.015,169,0.5443786982248521,0.0014221747279922628,-0.03357544814189592
MP,Asset,-0.015,200,0.51,0.0012514240020363896,-0.03141207293043483
TSM,Asset,-0.015,254,0.4881889763779528,0.0012382278824048687,-0.013081496058071088
BB,Toxic,-0.015,236,0.4915254237288136,0.0012115723936956407,-0.028581497767566817
TSLA,Asset,-0.015,387,0.5116279069767442,0.0012064478976132288,-0.0254726674531118
RXRX,Asset,-0.015,207,0.48792270531400966,0.0011031271528739455,-0.03976763568740935
STX,Asset,-0.015,203,0.5172413793103449,0.0008556359117102449,-0.02292916378958729
ANET,Asset,-0.015,212,0.5235849056603774,0.0006930622064457977,-0.022992858507854447
MSFT,Asset,-0.015,106,0.44339622641509435,0.0006320902787335483,-0.014372309644201258
CLOV,Toxic,-0.015,205,0.4585365853658537,0.0005727402220561117,-0.03703787005207578
LRCX,Asset,-0.015,281,0.5160142348754448,0.00015271278521566145,-0.019594165544849298
VOO,Asset,-0.015,58,0.5,0.00013360856605552717,-0.013265481480725878
MRVL,Asset,-0.015,312,0.4967948717948718,0.0001092554308853474,-0.022646940378589598
MU,Asset,-0.015,366,0.5027322404371585,8.205302356680974e-05,-0.021684540787334564
AFRM,Toxic,-0.015,280,0.5035714285714286,1.351742975482874e-05,-0.040499656150631703
