Ticker,Pool,Threshold,Events,Win Rate,Avg Fade Return
IBM,Asset,0.015,69,0.42028985507246375,-0.002481116599055639
IONQ,Asset,0.015,322,0.6055900621118012,0.00666733408162137
IREN,Asset,0.015,339,0.5457227138643068,0.002523935400331988
KOSS,Toxic,0.015,572,0.6695804195804196,0.011789146113280798
KTOS,Asset,0.015,263,0.532319391634981,0.0014503590157322942
LCID,Toxic,0.015,237,0.5569620253164557,0.0023509251024291487
LEU,Asset,0.015,605,0.6297520661157024,0.009912044851911475
LRCX,Asset,0.015,328,0.43902439024390244,-0.0025243411773072403
LTBR,Asset,0.015,766,0.6475195822454308,0.015744413364203486
LUMN,Asset,0.015,203,0.4482758620689655,-0.006315502790619308
MARA,Toxic,0.015,860,0.5965116279069768,0.007156962893416317
MCD,Asset,0.015,46,0.45652173913043476,-0.0014983725591244767
MGK,Asset,0.015,70,0.38571428571428573,-0.0018041304107539937
MP,Asset,0.015,301,0.5348837209302325,0.0029359696814741263
MRVL,Asset,0.015,380,0.49736842105263157,9.54878558536737e-05
MSFT,Asset,0.015,121,0.4628099173553719,-0.0008089070380367479
MU,Asset,0.015,426,0.45539906103286387,-0.0012600495178438926
NET,Asset,0.015,255,0.5098039215686274,0.000895791475985372
NLR,Asset,0.015,115,0.5130434782608696,0.0017768245412558726
NVDA,Asset,0.015,382,0.4424083769633508,-0.002011425689852461
NVO,Asset,0.015,336,0.5178571428571429,0.0003524967184410219
NVTS,Asset,0.015,259,0.5405405405405406,-0.001020706705097184
OKLO,Asset,0.015,153,0.5686274509803921,-0.0013144064493420134
ON,Asset,0.015,353,0.4702549575070821,-0.00296836350013995
ONDS,Asset,0.015,325,0.5753846153846154,0.008506738567271415
OPEN,Toxic,0.015,364,0.5686813186813187,0.006646607002084195
ORCL,Asset,0.015,108,0.5648148148148148,0.0030262567527696315
OSCR,Asset,0.015,157,0.47770700636942676,0.0013752053138363922
PANW,Asset,0.015,193,0.47150259067357514,-0.0010708592637691864
PLTR,Asset,0.015,230,0.5521739130434783,0.0012968657131180977
POWI,Asset,0.015,218,0.46788990825688076,-0.003482856332205333
PSNY,Toxic,0.015,209,0.569377990430622,0.008646728578744418
PTON,Toxic,0.015,251,0.4581673306772908,-0.0024700235626082343
QBTS,Asset,0.015,341,0.624633431085044,0.006360155809361644
