Group,Ticker,Avoided Days,Avoided %,Total Ret (B&H),Total Ret (Strat),Total Ret Delta,MDD (B&H),MDD (Strat),MDD Improv,Calmar (B&H),Calmar (Strat),CAGR (B&H),CAGR (Strat),Win Rate (B&H),Win Rate (Strat)
Group A (Final),GLD,363,24.3,1.731781858778123,1.7637648990441832,0.031983040266060137,-0.2200216813471546,-0.1748069067120795,0.04521477463507512,0.8395744571595227,1.0700542638266473,0.18472458368036282,0.18705287587360764,0.5441767068273092,0.5689424364123159
Group A (Final),KTOS,510,34.1,3.27687288018444,6.302202902489789,3.025330022305349,-0.7274368242440292,-0.6527760603572746,0.07466076388675458,0.38185713071708094,0.6103727848490319,0.2777769384837705,0.39843674184304945,0.5140562248995983,0.6218206157965194
Group A (Final),U,497,37.8,-0.2797366402154935,0.8831025998672344,1.1628392400827279,-0.9307378647406036,-0.887814753136841,0.04292311160376261,-0.06553016129103732,0.14536387852879526,-0.060991402396127437,0.1290561959310561,0.4908675799086758,0.6210045662100456
Group A (Final),RXRX,476,40.6,-0.8536741202765546,-0.5309915130151431,0.3226826072614115,-0.9068473328317217,-0.9054736629959805,0.0013736698357411647,-0.3737863897647843,-0.16618110901413533,-0.338967190606993,-0.15047261749976348,0.47692307692307695,0.6273504273504273
Group A (Final),AMZN,461,30.8,1.4265415356049806,2.462545297904912,1.0360037622999312,-0.5614526325328256,-0.47411658856739447,0.08733604396543115,0.287258402399733,0.4915558219544904,0.16128198624450385,0.2330547693955045,0.5207496653279786,0.5957161981258366
Group A (Final),HIMS,542,36.3,2.815151708396823,4.770327322797236,1.9551756144004129,-0.8728536381233936,-0.7019690345106652,0.1708846036127284,0.29030101967123867,0.49003241831974687,0.2533903011709715,0.3439875835668391,0.4859437751004016,0.5997322623828648
Group A (Final),DDOG,561,37.5,3.0844684136316785,4.711597044760663,1.6271286311289845,-0.6810643090895365,-0.5895389399743741,0.0915253691151624,0.3933467870552731,0.5795553497960406,0.2678944577583886,0.3416704465752354,0.5140562248995983,0.6218206157965194
Group A (Final),ADBE,436,29.2,0.04784259890084552,0.6587246865483938,0.6108820876475483,-0.6002149800846833,-0.46806818948742307,0.13214679059726026,0.01318509218239783,0.19037084814563596,0.007913889841672628,0.08910653822271297,0.5174029451137885,0.6017402945113789
Group A (Final),CELH,552,36.9,26.757900791750625,32.15385607154896,5.395955279798333,-0.7785870299499973,-0.7226721054870181,0.05591492446297919,0.965482813082041,1.1139123977115657,0.7517123959053147,0.8049934177823099,0.5140562248995983,0.6398929049531459
Group A (Final),SPOT,488,32.6,2.9498088273536567,5.13014761765418,2.1803387903005236,-0.8051235531270283,-0.7810081235373415,0.02411542958968682,0.32385725393167564,0.45808828017222414,0.26074510299143294,0.35777066811175673,0.5234270414993306,0.6171352074966533
